Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Fwd IAT Total,Bwd IAT Total,Fwd PSH Flags,Bwd PSH Flags,Fwd Header Length,Bwd Header Length
1727337139.051639,2,0,120,0,66,54,60.0,8.48528137423857,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337140.847006,2,0,150,0,75,75,75.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,40,0
1727337141.180495,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337141.180495,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337142.028644,1,0,75,0,75,75,75.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337142.188602,3,0,237,0,79,79,79.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,60,0
1727337142.240587,24,0,27000,0,1125,1125,1125.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,480,0
1727337142.431025,1,0,179,0,179,179,179.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337142.669858,11,0,7326,0,666,666,666.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,220,0
1727337143.024039,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337143.024840,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337143.641230,24,0,3000,0,125,125,125.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,480,0
1727337143.648191,6,0,420,0,70,70,70.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,120,0
1727337143.648398,6,0,420,0,70,70,70.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,120,0
1727337143.649720,6,0,420,0,70,70,70.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,120,0
1727337143.650827,6,0,420,0,70,70,70.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,120,0
1727337143.651997,6,0,420,0,70,70,70.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,120,0
1727337143.653150,6,0,420,0,70,70,70.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,120,0
1727337143.654106,6,0,420,0,70,70,70.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,120,0
1727337143.655388,6,0,420,0,70,70,70.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,120,0
1727337143.656296,6,0,336,0,56,56,56.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,120,0
1727337143.657145,6,0,336,0,56,56,56.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,120,0
1727337143.658246,6,0,336,0,56,56,56.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,120,0
1727337143.659216,6,0,336,0,56,56,56.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,120,0
1727337143.814284,18,0,4816,0,277,252,267.55555555555554,11.743444840932586,0,inf,0,[],0,0,0,0,0,0,0,360,0
1727337144.050160,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337144.050160,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337144.050898,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337144.153225,15,0,2581,0,179,143,172.06666666666666,12.578136738385533,0,inf,0,[],0,0,0,0,0,0,0,300,0
1727337145.077566,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337145.077868,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337145.077868,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337145.530420,16,0,6852,0,1494,54,428.25,570.5656257901744,0,inf,0,[],0,0,0,0,0,0,0,320,0
1727337145.753727,12,0,7693,0,1506,54,641.0833333333334,664.0014318622751,0,inf,0,[],0,0,0,0,0,0,0,240,0
1727337146.099608,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337146.099608,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337147.121228,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337147.121228,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337147.122272,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337148.145099,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337148.145099,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337148.145903,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337149.177470,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337149.177470,1,0,207,0,207,207,207.0,,0,inf,0,[],0,0,0,0,0,0,0,20,0
1727337149.239168,6,0,477,0,105,54,79.5,27.93385043276347,0,inf,0,[],0,0,0,0,0,0,0,120,0
1727337149.249845,6,0,426,0,88,54,71.0,18.62256695517565,0,inf,0,[],0,0,0,0,0,0,0,120,0
1727337149.505706,2,0,100,0,50,50,50.0,0.0,0,inf,0,[],0,0,0,0,0,0,0,48,0
